Common.Name,Scientific.Name,Resident.status,IUCN.Redlist.Status,Distribution.Status,SoIB.status,Order,Family,Endemicity
Short-toed Snake-Eagle,Circaetus gallicus,Resident,Least Concern,Very Large,High,Accipitriformes,Accipitridae,Not endemic
Shikra,Accipiter badius,Resident,Least Concern,Very Large,Low,Accipitriformes,Accipitridae,Not endemic
Scaly-breasted Munia,Lonchura punctulata,Resident,Least Concern,Very Large,Low,Passeriformes,Estrildidae,Not endemic
Hill Swallow,Hirundo domicola,Resident,Least Concern,Restricted,Moderate,Passeriformes,Hirundinidae,Western Ghats
Sanderling,Calidris alba,WinterMigrant,Least Concern,Moderate,Moderate,Charadriiformes,Scolopacidae,Not endemic
Rusty-tailed Flycatcher,Ficedula ruficauda,WinterMigrant,Least Concern,Restricted,Moderate,Passeriformes,Muscicapidae,Not endemic
Rufous-bellied Eagle,Lophotriorchis kienerii,Resident,Near Threatened,Moderate,Moderate,Accipitriformes,Accipitridae,Not endemic
Rufous Woodpecker,Micropternus brachyurus,Resident,Least Concern,Large,Low,Piciformes,Picidae,Not endemic
Rufous Treepie,Dendrocitta vagabunda,Resident,Least Concern,Very Large,Low,Passeriformes,Corvidae,Not endemic
Ruff,Calidris pugnax,WinterMigrant,Least Concern,Large,Low,Charadriiformes,Scolopacidae,Not endemic
Ruddy-breasted Crake,Zapornia fusca,Resident,Least Concern,Large,Low,Gruiformes,Rallidae,Not endemic
Ruddy Turnstone,Arenaria interpres,WinterMigrant,Least Concern,Moderate,Low,Charadriiformes,Scolopacidae,Not endemic
Rosy Starling,Pastor roseus,WinterMigrant,Least Concern,Very Large,Low,Passeriformes,Sturnidae,Not endemic
Rose-ringed Parakeet,Psittacula krameri,Resident,Least Concern,Very Large,Low,Psittaciformes,Psittaculidae,Not endemic
Rock Pigeon (Feral),Columba livia,Resident,Least Concern,Very Large,Low,Columbiformes,Columbidae,Not endemic
River Tern,Sterna aurantia,Resident,Near Threatened,Very Large,Moderate,Charadriiformes,Laridae,Not endemic
Richard's Pipit,Anthus richardi,WinterMigrant,Least Concern,Moderate,Moderate,Passeriformes,Motacillidae,Not endemic
Red-whiskered Bulbul,Pycnonotus jocosus,Resident,Least Concern,Very Large,Low,Passeriformes,Pycnonotidae,Not endemic
